"player","class","pos","school","conf","drafted"
"James Thomas",3,"F","Sam Houston State","Southland",0
"Tarique Thompson",4,"F","High Point","Big South",0
"Jabril Trawick",4,"G","Georgetown","Big East",0
"Jahlil Tripp",3,"F","Pacific","WCC",0
"Davauhnte Turner",4,"G","Saint Peter's","MAAC",0
"Brandon Ubel",4,"F","Nebraska","Big Ten",0
"Stanley Umude",2,"G","South Dakota","Summit",0
"Devonte Upson",4,"F","Southeastern Louisiana","Southland",0
"Drew Valentine",3,"F","Oakland","Summit",0
"Wes VanBeck",3,"G","Houston","AAC",0
"Nick Victor",4,"G","Yale","Ivy",0
"Desmond Washington",4,"G","Saint Peter's","MAAC",0
"Josh Webster",4,"G","Missouri State","MVC",0
"Terry Whisnant",3,"G","East Carolina","AAC",0
"Corey Wilford",4,"G","Southeast Missouri State","OVC",0
"Brian Williams",2,"G","Jacksonville State","OVC",0
"Charles Williams",3,"G","Howard","MEAC",0
"K.J. Williams",1,"F","Murray State","OVC",0
"Michael Williams",2,"G","San Francisco","WCC",0
"Nino Williams",4,"F","Kansas State","Big 12",0
"Rodney Williams",4,"F","Drexel","CAA",0
"Nick Winbush",4,"F","Miami (OH)","MAC",0
"Avery Woodson",3,"G","Memphis","AAC",0
"Brent Wrapp",2,"G","Cal State Bakersfield","WAC",0
"Chris Wroblewski",3,"G","Cornell","Ivy",0
"Marcus Zegarowski",1,"G","Creighton","Big East",0
"Joey Accaoui",4,"G","Vermont","AEC",0
"Abdul Ado",1,"F","Mississippi State","SEC",0
"Omondi Amoke",4,"F","Cal State Fullerton","Big West",0
"Gerard Andrus",3,"G","Prairie View","SWAC",0
"Paris Austin",2,"G","Boise State","MWC",0
"Brett Bailey",4,"F","San Diego","WCC",0
"Isaiah Bailey",3,"G","Bethune-Cookman","MEAC",0
"Drew Barham",4,"G","Gonzaga","WCC",0
"Daniel Barnes",4,"G","Illinois-Chicago","Horizon",0
"Stacy Beckton",2,"G","American","Patriot",0
"Max Bielfeldt",4,"F","Indiana","Big Ten",0
"Kaleb Bishop",3,"F","Fairleigh Dickinson","NEC",0
"Andrew Bock",4,"G","Pacific","WCC",0
"Devon Bookert",4,"G","Florida State","ACC",0
"Donald Boone",4,"G","Arkansas State","Sun Belt",0
"Tone Boyle",4,"G","Milwaukee","Horizon",0
"Thomas Bropleh",4,"G","Boise State","MWC",0
"Jerry Brown",2,"F","Fresno State","WAC",0
"Justin Brown",2,"G","South Florida","AAC",0
"T.J. Buchanan",4,"G","Rhode Island","A-10",0
"Jordan Butler",2,"F","Norfolk State","MEAC",0
"Ricky Cadell",4,"G","St. Francis (NY)","NEC",0
"Kyle Cain",3,"F","North Carolina-Greensboro","Southern",0
"Jay Canty",2,"F","Appalachian State","Southern",0
"Josh Carlton",2,"F","Connecticut","AAC",0
"Sean Carter",4,"F","Massachusetts","A-10",0
"Ezekiel Charles",4,"G","New Orleans","Southland",0
"Dominic Cheek",3,"G","Villanova","Big East",0
"Brandon Childress",3,"G","Wake Forest","ACC",0
"Jesse Chuku",4,"F","Lehigh","Patriot",0
"Obediah Church",3,"F","Missouri State","MVC",0
"Donte Clark",4,"G","Texas Southern","SWAC",0
"Kihei Clark",1,"G","Virginia","ACC",0
"Marvin Clark",3,"F","St. John's (NY)","Big East",0
"Tareq Coburn",3,"G","Hofstra","CAA",0
"Marcus Colbert",4,"G","Montana State","Big Sky",0
"Anthony Collins",1,"G","South Florida","Big East",0
"Willie Conner",3,"G","Buffalo","MAC",0
"Austin Cooke",2,"F","Abilene Christian","Southland",0
"Charles Cooper",3,"G","Green Bay","Horizon",0
"Andre Cornelius",3,"G","George Mason","CAA",0
"Josh Crittle",4,"C","Illinois-Chicago","Horizon",0
"Jamal Crook",4,"G","Western Kentucky","Sun Belt",0
"Dawon Cummings",4,"G","Indiana State","MVC",0
"Josh Cuthbertson",2,"F","South Carolina Upstate","A-Sun",0
"Yohanny Dalembert",2,"F","James Madison","CAA",0
"Charvez Davis",4,"G","Alabama","SEC",0
"Josh Davis",3,"G","Western Michigan","MAC",0
"Marcel Davis",4,"G","Utah Valley","WAC",0
"Tyran de Lattibeaudiere",4,"F","Lamar","Southland",0
"Julian DeBose",3,"G","Florida Gulf Coast","A-Sun",0
"Josh Delaney",3,"G","Sam Houston State","Southland",0
"Nat Dixon",3,"G","Chattanooga","Southern",0
"Andre Drummond",1,"C","Connecticut","Big East",0
"Kevin Dukes",4,"G","Bethune-Cookman","MEAC",0
"Tilman Dunbar",4,"G","Navy","Patriot",0
"Mario Dunn",2,"G","Montana","Big Sky",0
"Tahj Eaddy",2,"G","Santa Clara","WCC",0
"Fredrick Edmond",3,"G","Western Kentucky","CUSA",0
"Nnanna Egwu",4,"F","Illinois","Big Ten",0
"Steven Enoch",3,"C","Louisville","ACC",0
"Aaron Epps",4,"F","Louisiana State","SEC",0
"Keyshawn Evans",3,"G","Illinois State","MVC",0
"Eric Fanning",4,"G","Boston University","Patriot",0
"Nick Faust",2,"G","Maryland","ACC",0
"Dexter Fields",4,"G","Murray State","OVC",0
"Travis Fields",3,"G","Radford","Big South",0
"Mike Fitzgerald",4,"F","Air Force","MWC",0
"Chase Foster",3,"F","San Francisco","WCC",0
"Tevin Foster",4,"G","Abilene Christian","Southland",0
"Josh Freelove",4,"G","Buffalo","MAC",0
"Allerik Freeman",4,"G","North Carolina State","ACC",0
"Trevor Gaskins",4,"G","Louisiana Tech","WAC",0
"Shane Gatling",3,"G","Colorado","Pac-12",0
"Reginald Gee",2,"G","Alabama State","SWAC",0
"Dan Geriot",4,"C","Richmond","A-10",0
"Brandon Gilbeck",3,"C","Western Illinois","Summit",0
"Christavious Gill",3,"G","New Orleans","Southland",0
"Tony Gill",4,"F","Pacific","WCC",0
"Zach Glotta",4,"G","Austin Peay","OVC",0
"Jaire Grayer",2,"G","George Mason","A-10",0
"Nick Griffin",3,"G","Saint Peter's","MAAC",0
"Brandon Harris",3,"G","Western Kentucky","Sun Belt",0
"Darnell Harris",4,"F","Middle Tennessee","CUSA",0
"Devin Harris",4,"G","Jacksonville","A-Sun",0
"Jay Harris",4,"G","Illinois-Chicago","Horizon",0
"Kenny Harris",4,"F","Evansville","MVC",0
"Omega Harris",3,"G","Texas-El Paso","CUSA",0
"Tyler Harris",2,"F","Providence","Big East",0
"Damarcus Harrison",3,"G","Clemson","ACC",0
"Mike Hart",4,"G","Gonzaga","WCC",0
"Anthony Hickey",2,"G","Louisiana State","SEC",0
"Cory Hightower",1,"F","Presbyterian","Big South",0
"Jeromie Hill",2,"F","Texas-San Antonio","Southland",0
"Rodney Hood",1,"F","Mississippi State","SEC",0
"Nick Hornsby",4,"F","Sacramento State","Big Sky",0
"Tommy Hubbard",4,"G","East Tennessee State","A-Sun",0
"Robert Hubbs",4,"G","Tennessee","SEC",0
"Jordan Hunter",3,"G","Lamar","Southland",0
"Tim Huskisson",3,"F","Northern Colorado","Big Sky",0
"Anthony Jackson",3,"G","Stony Brook","AEC",0
"Antino Jackson",2,"G","Akron","MAC",0
"Garrett Jackson",4,"F","Saint Mary's (CA)","WCC",0
"Kourtlin Jackson",4,"G","Southern Mississippi","CUSA",0
"Trency Jackson",4,"G","Western Kentucky","CUSA",0
"Chris Jenkins",3,"G","Detroit Mercy","Horizon",0
"Sheldon Jeter",3,"F","Pittsburgh","ACC",0
"Taylor Johns",3,"F","UC-Riverside","Big West",0
"Antwain Johnson",3,"G","Middle Tennessee","CUSA",0
"Cory Johnson",4,"F","Valparaiso","Horizon",0
"Isaac Johnson",2,"F","Appalachian State","Sun Belt",0
"Robert Johnson",3,"G","Indiana","Big Ten",0
"Tyrone Johnson",4,"G","South Carolina","SEC",0
"Lawrence Johnson-Danner",1,"G","Texas Southern","SWAC",0
"Ray Jones",4,"G","Southern Utah","Summit",0
"Andre Jones",4,"G","Winthrop","Big South",0
"Elston Jones",4,"F","UC-Irvine","Big West",0
"Terrence Joyner",4,"G","Mississippi Valley State","SWAC",0
"Kodi Justice",4,"G","Arizona State","Pac-12",0
"Chris Kading",1,"F","North Dakota State","Summit",0
"Jonathan Kasibabu",4,"F","Fairfield","MAAC",0
"Rashard Kelly",4,"F","Wichita State","AAC",0
"Jonathan King",3,"F","Stephen F. Austin","Southland",0
"Griffin Kinney",4,"F","Appalachian State","Sun Belt",0
"Denton Koon",4,"F","Hofstra","CAA",0
"Jordy Kuiper",4,"F","North Carolina-Greensboro","Southern",0
"Tom Lacey",3,"F","Navy","Patriot",0
"Trey Landers",2,"G","Dayton","A-10",0
"Colter Lasher",4,"F","Houston Baptist","Southland",0
"Tyler Livingston",4,"F","Massachusetts-Lowell","AEC",0
"Noah Locke",1,"G","Florida","SEC",0
"Jimbo Lull",3,"C","San Francisco","WCC",0
"JaQuan Lyle",2,"G","Ohio State","Big Ten",0
"R.J. Mahurin",2,"F","Indiana State","MVC",0
"Malik Maitland",3,"G","Bethune-Cookman","MEAC",0
"Kyle Mallers",2,"F","Ball State","MAC",0
"Sandro Mamukelashvili",2,"F","Seton Hall","Big East",0
"Malik Marquetti",3,"G","Louisiana","Sun Belt",0
"Marcus Marshall",1,"G","Missouri State","MVC",0
"Justin Martin",3,"F","Xavier","Big East",0
"D.J. Mason",3,"F","Campbell","Big South",0
"Jonah Mathews",3,"G","Southern California","Pac-12",0
"Phillip McDonald",3,"G","New Mexico","MWC",0
"Chris McEachin",4,"G","Norfolk State","MEAC",0
"Darius McGhee",1,"G","Liberty","A-Sun",0
"Gee McGhee",3,"G","Murray State","OVC",0
"Four McGlynn",4,"G","Rhode Island","A-10",0
"MiKyle McIntosh",3,"F","Illinois State","MVC",0
"Lamont Middleton",3,"G","North Carolina A&T","MEAC",0
"Ben Millaud-Meunier",4,"G","Saint Francis (PA)","NEC",0
"Dane Miller",3,"G","Rutgers","Big East",0
"Damari Milstead",2,"G","Grand Canyon","WAC",0
"Javan Mitchell",2,"C","Southern","SWAC",0
"Matt Mitchell",1,"F","San Diego State","MWC",0
"Ben Mockford",4,"G","St. Francis (NY)","NEC",0
"Mario Moody",4,"F","Bethune-Cookman","MEAC",0
"Nic Moore",1,"G","Illinois State","MVC",0
"Eric Mosley",4,"G","St. Bonaventure","A-10",0
"Marcel Mosley",4,"G","Arkansas-Pine Bluff","SWAC",0
"Hanner Mosquera-Perea",4,"F","East Tennessee State","Southern",0
"Anthony Myles",4,"G","Rider","MAAC",0
"Josh Nebo",3,"F","Texas A&M","SEC",0
"Anthony Nelson",4,"G","Niagara","MAAC",0
"Colin Nickerson",4,"G","Fairfield","MAAC",0
"Evan Nolte",1,"F","Virginia","ACC",0
"Braden Norris",1,"G","Oakland","Horizon",0
"Riley Norris",3,"G","Alabama","SEC",0
"Deontae North",4,"G","Portland State","Big Sky",0
"Roland Nyama",1,"G","Stony Brook","AEC",0
"Kezie Okpala",2,"F","Stanford","Pac-12",0
"Kevin Olekaibe",4,"G","Nevada-Las Vegas","MWC",0
"J.J. Panoske",4,"F","Milwaukee","Horizon",0
"Pauly Paulicap",2,"F","Manhattan","MAAC",0
"Devontavius Payne",4,"G","East Tennessee State","Southern",0
"Brandon Penn",3,"F","Rider","MAAC",0
"Lamar Peters",3,"G","Mississippi State","SEC",0
"Tyler Peterson",2,"G","South Dakota","Summit",0
"Kavion Pippen",4,"C","Southern Illinois","MVC",0
"Greg Plater",4,"G","Cal State Long Beach","Big West",0
"Craig Ponder",4,"G","North Carolina-Wilmington","CAA",0
"Chad Posthumus",4,"C","Morehead State","OVC",0
"Will Pratt",4,"F","Northwestern State","Southland",0
"Colton Ray-St Cyr",4,"G","Coastal Carolina","Sun Belt",0
"Braylon Rayson",4,"G","Central Michigan","MAC",0
"Nate Reuvers",2,"F","Wisconsin","Big Ten",0
"Blake Reynolds",4,"F","Yale","Ivy",0
"Glen Rice",2,"G","Georgia Tech","ACC",0
"Tucker Richardson",1,"G","Colgate","Patriot",0
"Austin Richie",3,"G","Western Michigan","MAC",0
"Xavian Rimmer",3,"G","Louisiana","Sun Belt",0
"Hugh Robertson",4,"G","South Florida","Big East",0
"Matt Ross",4,"F","Chicago State","WAC",0
"Rod Rucker",3,"F","Alabama-Birmingham","CUSA",0
"Cullen Russo",3,"F","Fresno State","MWC",0
"David Samuels",4,"F","Cal State Long Beach","Big West",0
"Corey Sanders",3,"G","Rutgers","Big Ten",0
"Jermaine Sanders",3,"F","Cincinnati","AAC",0
"Markhuri Sanders-Frison",4,"C","University of California","Pac-10",0
"Vee Sanford",3,"G","Dayton","A-10",0
"Steve Santa Ana",4,"G","Elon","CAA",0
"Ryan Sawvell",4,"F","Wofford","Southern",0
"Jerome Seagears",4,"G","Nevada-Las Vegas","MWC",0
"Brandon Sebirumbi",4,"F","Furman","Southern",0
"Jaime Serna",4,"F","UC-Santa Barbara","Big West",0
"Keith Shamburger",3,"G","Hawaii","Big West",0
"Marvin Singleton",4,"F","Northern Iowa","MVC",0
"Marland Smith",4,"G","Southeast Missouri State","OVC",0
"Matt Smith",2,"F","Toledo","MAC",0
"Sterling Smith",3,"G","Coppin State","MEAC",0
"Terence Smith",3,"G","Tennessee-Martin","OVC",0
"Isaac Sosa",4,"G","Canisius","MAAC",0
"Khaliq Spicer",4,"F","Kent State","MAC",0
"Clint Steindl",4,"F","Saint Mary's (CA)","WCC",0
"David Stockton",4,"G","Gonzaga","WCC",0
"Johnathan Stove",4,"G","Louisiana","Sun Belt",0
"Trevor Stumpe",2,"G","Wofford","Southern",0
"Justice Sueing",2,"F","University of California","Pac-12",0
"Edmond Sumner",1,"G","Xavier","Big East",0
"Ameen Tanksley",2,"G","Niagara","MAAC",0
"Patrick Tape",3,"F","Columbia","Ivy",0
"Sterling Taplin",3,"G","Tulsa","AAC",0
"Malik Thomas",4,"G","Norfolk State","MEAC",0
"Lijah Thompson",2,"F","Robert Morris","NEC",0
"Demetrius Troy",3,"G","North Carolina-Greensboro","Southern",0
"Devon Turk",3,"G","Loyola (IL)","MVC",0
"Matt Van Scyoc",2,"G","Citadel","Southern",0
"Dejan Vasiljevic",3,"G","Miami (FL)","ACC",0
"Terrell Vinson",3,"F","Massachusetts","A-10",0
"Kevin Ware",3,"G","Georgia State","Sun Belt",0
"Tyrone Watson",2,"F","New Mexico State","WAC",0
"Travis Weatherington",4,"G","Hartford","AEC",0
"Tai Webster",4,"G","Nebraska","Big Ten",0
"Collin Welp",1,"F","UC-Irvine","Big West",0
"Brendan Westendorf",3,"G","Seattle","WAC",0
"Mike Wilder",2,"F","UC-Irvine","Big West",0
"D'Andre Williams",4,"G","Little Rock","Sun Belt",0
"Eddie Williams",4,"G","Stephen F. Austin","Southland",0
"Lexus Williams",4,"G","Boise State","MWC",0
"Michael Williams",4,"G","Cal State Fullerton","Big West",0
"Mike Williams",3,"G","Rutgers","Big Ten",0
"Shawn Williams",3,"F","Southern Methodist","CUSA",0
"Kyle Wilson",2,"G","Army","Patriot",0
"Wesley Witherspoon",4,"F","Memphis","CUSA",0
"Keyshawn Woods",2,"G","Wake Forest","ACC",0
"Remy Abell",3,"G","Xavier","Big East",0
"Jamar Abrams",4,"G","East Carolina","CUSA",0
"Garrius Adams",4,"G","Miami (FL)","ACC",0
"Jubril Adekoya",3,"G","Valparaiso","Horizon",0
"Danny Agbelese",3,"F","Hampton","MEAC",0
"Robert Allen",1,"F","Samford","Southern",0
"Jose Alvarado",2,"G","Georgia Tech","ACC",0
"Dwaun Anderson",4,"G","Wagner","NEC",0
"Kyle Anderson",3,"G","Delaware","CAA",0
"Ron Anderson",4,"F","South Florida","Big East",0
"Amorie Archibald",2,"G","Louisiana Tech","CUSA",0
"Alex Arians",1,"G","South Dakota State","Summit",0
"J.J. Avila",2,"F","Navy","Patriot",0
"Mitchell Badillo",2,"G","Incarnate Word","Southland",0
"Auston Barnes",3,"F","Bradley","MVC",0
"Antonio Barton",4,"G","Tennessee","SEC",0
"Melsahn Basabe",1,"F","Iowa","Big Ten",0
"James Beatty",4,"G","Rutgers","Big East",0
"Kamren Belin",3,"F","Youngstown State","Horizon",0
"Dwayne Benjamin",3,"F","Oregon","Pac-12",0
"Brian Bennett",3,"F","Cal Poly","Big West",0
"Braxton Beverly",1,"G","North Carolina State","ACC",0
"Noah Blackwell",3,"G","Fresno State","MWC",0
"Cedric Blossom",3,"F","Morgan State","MEAC",0
"Thik Bol",3,"F","Southern Illinois","MVC",0
"James Bolden",2,"G","West Virginia","Big 12",0
"Maurice Bolden",4,"G","Southern Mississippi","CUSA",0
"Cedrick Bowen",4,"F","Charleston Southern","Big South",0
"Caleb Brown",4,"G","Austin Peay","OVC",0
"D.J. Brown",4,"G","Texas State","Sun Belt",0
"Greg Brown",3,"G","Saint Francis (PA)","NEC",0
"Mislav Brzoja",3,"G","Evansville","MVC",0
"Michael Buckland",3,"G","Lipscomb","A-Sun",0
"Travis Bureau",4,"G","Louisiana","Sun Belt",0
"Nate Buss",4,"F","Northern Iowa","MVC",0
"Devocio Butler",4,"F","Texas Southern","SWAC",0
"C.J. Carter",3,"G","Omaha","Summit",0
"Myles Carter",3,"F","Seattle","WAC",0
"Tyson Carter",3,"G","Mississippi State","SEC",0
"Connor Cashaw",3,"G","Rice","CUSA",0
"Kyle Castlin",1,"G","Columbia","Ivy",0
"Clint Chapman",4,"F","Texas","Big 12",0
"Laimonas Chatkevicius",4,"F","South Carolina","SEC",0
"Rodney Chatman",2,"G","Chattanooga","Southern",0
"Orane Chin",4,"F","Cal State Fullerton","Big West",0
"Willie Clayton",2,"F","Charlotte","CUSA",0
"Michael Cobbins",2,"F","Oklahoma State","Big 12",0
"Jarryd Cole",4,"F","Iowa","Big Ten",0
"Malik Cook",4,"F","South Carolina","SEC",0
"Armani Cotton",4,"G","Yale","Ivy",0
"Cannen Cunningham",2,"C","Southern Methodist","CUSA",0
"Jordan Cyphers",4,"G","Tennessee State","OVC",0
"Nate Darling",2,"G","Alabama-Birmingham","CUSA",0
"Victor Davila",3,"F","Virginia Tech","ACC",0
"Kyle Davis",2,"F","Utah State","MWC",0
"Shamir Davis",3,"G","Northwestern State","Southland",0
"Keron DeShields",3,"G","Montana","Big Sky",0
"Tyrik Dixon",1,"G","Middle Tennessee","CUSA",0
"Mark Donnal",2,"F","Michigan","Big Ten",0
"Damiyne Durham",2,"G","Cal State Bakersfield","WAC",0
"Zena Edosomwan",3,"F","Harvard","Ivy",0
"Joseph Edwards",4,"G","Purdue-Fort Wayne","Summit",0
"Kai Edwards",3,"F","Northern Colorado","Big Sky",0
"Traylin Farris",3,"C","Portland State","Big Sky",0
"Javan Felix",3,"G","Texas","Big 12",0
"Jamal Fenton",3,"G","New Mexico","MWC",0
"Lennard Freeman",4,"F","North Carolina State","ACC",0
"Jalone Friday",1,"C","Abilene Christian","Southland",0
"Thomas Funk",3,"G","Army","Patriot",0
"Wenyen Gabriel",2,"F","Kentucky","SEC",0
"Ivan Gandia-Rosa",3,"G","North Florida","A-Sun",0
"Darnell Gant",4,"F","Washington","Pac-12",0
"Tomasz Gielo",3,"F","Liberty","Big South",0
"Garrett Gilkeson",3,"G","Virginia Military Institute","Southern",0
"Richaud Gittens",4,"G","Seattle","WAC",0
"Markus Golder",2,"G","Valparaiso","MVC",0
"Myron Gordon",3,"G","Samford","Southern",0
"Richie Gordon",4,"F","Western Carolina","Southern",0
"Justin Gorham",2,"F","Towson","CAA",0
"Hayden Graham",3,"F","Air Force","MWC",0
"Hassani Gravett",4,"G","South Carolina","SEC",0
"Phil Greene",4,"G","St. John's (NY)","Big East",0
"Denzel Gregg",4,"F","St. Bonaventure","A-10",0
"Daylon Guy",2,"G","Little Rock","Sun Belt",0
"Mitchell Hahn",4,"F","Omaha","Summit",0
"Michael Hale",3,"G","Texas-San Antonio","Southland",0
"Amauri Hardy",2,"G","Nevada-Las Vegas","MWC",0
"Zalmico Harmon",3,"G","UC-Santa Barbara","Big West",0
"Eron Harris",3,"G","Michigan State","Big Ten",0
"Daylen Harrison",4,"G","Eastern Michigan","MAC",0
"Javontae Hawkins",3,"G","Eastern Kentucky","OVC",0
"Jeremy Hazell",4,"G","Seton Hall","Big East",0
"Jordan Heading",4,"G","California Baptist","WAC",0
"Mark Henniger",4,"F","Kent State","MAC",0
"Robert Heyer",4,"G","Boise State","MWC",0
"David Hicks",4,"G","Long Island University","NEC",0
"Bo Hodges",1,"G","East Tennessee State","Southern",0
"Jace Hogan",3,"F","Jacksonville","A-Sun",0
"Rickey Holden",4,"G","Cal State Bakersfield","WAC",0
"Brandon Hollins",4,"F","Portland State","Big Sky",0
"Tyler Hood",4,"F","Samford","Southern",0
"Jaron Hopkins",3,"G","Fresno State","MWC",0
"Jon House",4,"G","Belmont","A-Sun",0
"Bobby Howard",4,"F","Montana State","Big Sky",0
"Michael Hughes",2,"C","Duquesne","A-10",0
"Holton Hunsaker",3,"G","Utah Valley","GWC",0
"Keaton Jackson",3,"F","Southern Illinois-Edwardsville","OVC",0
"Paul Jackson",3,"G","Eastern Michigan","MAC",0
"Jeremiah Jefferson",4,"G","Nicholls State","Southland",0
"Jermel Jenkins",3,"G","Iona","MAAC",0
"Dan Jennings",4,"F","Cal State Long Beach","Big West",0
"Milton Jennings",4,"F","Clemson","ACC",0
"Tyreek Jewell",4,"G","St. Francis (NY)","NEC",0
"Dominique Johnson",4,"G","North Texas","Sun Belt",0
"Gibson Johnson",4,"F","Hawaii","Big West",0
"Shaquille Johnson",4,"G","Marshall","CUSA",0
"Andrew Jones",1,"G","Texas","Big 12",0
"Stevie Jordan",3,"G","Rider","MAAC",0
"Peter Jurkin",4,"C","East Tennessee State","Southern",0
"Diego Kapelan",4,"G","McNeese State","Southland",0
"Baye Moussa Keita",3,"C","Syracuse","Big East",0
"Kylor Kelley",3,"F","Oregon State","Pac-12",0
"Rich Kelly",2,"G","Quinnipiac","MAAC",0
"Adam Kemp",3,"F","Marist","MAAC",0
"Nate Kennell",3,"G","Bradley","MVC",0
"Michael Kessens",4,"F","Florida International","CUSA",0
"Denzel Keyes",4,"G","North Carolina A&T","MEAC",0
"Immanuel King",4,"F","Texas State","Sun Belt",0
"Arkel Lamar",2,"F","Maryland-Baltimore County","AEC",0
"Connor Lammert",3,"F","Texas","Big 12",0
"Brendan Lane",4,"F","Pepperdine","WCC",0
"Cameron Lard",1,"F","Iowa State","Big 12",0
"Dwayne Lathan",4,"G","Indiana State","MVC",0
"Kenny Lawson",4,"C","Creighton","MVC",0
"Manu Lecomte",2,"G","Miami (FL)","ACC",0
"Walt Lemon",3,"G","Bradley","MVC",0
"Terrell Lewis",4,"G","Eastern Illinois","OVC",0
"Greg Logins",4,"F","Canisius","MAAC",0
"Meiko Lyles",2,"G","Columbia","Ivy",0
"Jeremy Major",3,"G","Pepperdine","WCC",0
"Marin Maric",4,"C","DePaul","Big East",0
"Dre Marin",2,"G","Southern Utah","Big Sky",0
"Dennis Mavin",4,"G","Florida International","CUSA",0
"Bryant Mbamalu",3,"F","Louisiana","Sun Belt",0
"Harold McBride",4,"G","Gardner-Webb","Big South",0
"Darshawn McClellan",4,"F","Louisiana","Sun Belt",0
"Daryl McCoy",3,"F","Drexel","CAA",0
"Gee McGhee",1,"G","Chattanooga","Southern",0
"Trey McGowens",1,"G","Pittsburgh","ACC",0
"Brendan Mckillop",4,"G","Davidson","Southern",0
"Dominique McKoy",3,"F","Duquesne","A-10",0
"Logan McLane",3,"F","Miami (OH)","MAC",0
"Nathan Mensah",1,"F","San Diego State","MWC",0
"Codi Miller-McIntyre",3,"G","Wake Forest","ACC",0
"Jeremy Montgomery",3,"G","Cleveland State","Horizon",0
"Malik Moore",4,"F","South Carolina Upstate","Big South",0
"Jesse Morgan",4,"G","Temple","AAC",0
"Ambrose Mosley",4,"G","North Carolina-Wilmington","CAA",0
"Stuckey Mosley",2,"G","Toledo","MAC",0
"Sam Muldrow",4,"F","South Carolina","SEC",0
"Jeff Mullahey",4,"G","Troy","Sun Belt",0
"Xavier Munford",4,"G","Rhode Island","A-10",0
"Dejounte Murray",1,"G","Washington","Pac-12",0
"Abdel Nader",4,"F","Iowa State","Big 12",0
"Bola Olaniyan",3,"F","Southern Illinois","MVC",0
"Cory Osetkowski",3,"C","Columbia","Ivy",0
"Darius Paul",1,"F","Western Michigan","MAC",0
"Nicholas Paulos",4,"G","North Carolina-Greensboro","Southern",0
"JaColby Pemberton",2,"G","Louisiana Tech","CUSA",0
"Jake Pemberton",4,"G","Denver","Summit",0
